CEDICT with Classical Mandarin pronunciation (中州音)		
v20200702		
Trascription curated by Hien-haw Liow		
License: cc-by-sa 3.0		
character	pronunciation	gloss
鞭子	piɛn tsɨ˥˧	/whip/CL:根/
鞭毛	piɛn maw˩	/flagellum/
鞭毛綱	piɛn maw˩ kɑŋ	/flagellate/
鞭痕	piɛn ɦən˩	/welt/whip scar/lash mark/
鞭笞	piɛn tʃʰi	/to flog/to lash/to whip/to urge or goad along/
鞭策	piɛn ʈʂʰəʔᵏ	/to spur on/to urge on/to encourage sb (e.g. to make progress)/
鞭節	piɛn tsiɛʔᵗ	/flagellum/
鞵	ɦiai˩	/variant of 鞋/
鞶	pʱwɔn˩	/large belt/
鞹	kʰwɒʔᵏ	/leather/
鞾	hyuɛ	/variant of 靴/
韁	kiɑŋ	/bridle/reins/halter/
韆	tsʰiɛn	/see 鞦韆|秋千/
韈	vaʔᵗ˩	/variant of 韤|袜/
韉	tsiɛn	/saddle blanket/
韋	ui˩	/surname Wei/
韋	ui˩	/soft leather/
韋利	ui˩ li˨˦	/Waley or Whaley (name)/Arthur Waley (1889-1966), pioneer British sinologist/
韋德	ui˩ təʔᵏ	/Wade (name)/Sir Thomas Francis Wade (1818-1895), sinologist 威妥瑪|威妥玛/
韋科	ui˩ kʰwɔ	/Waco/
韌	ʒin˨˦	/annealed/pliable but strong/tough/tenacious/
韌勁	ʒin˨˦ kiŋ˨˦	/tenacity/
韌帶	ʒin˨˦ tai˨˦	/ligament/
韌性	ʒin˨˦ siŋ˨˦	/toughness/
韌體	ʒin˨˦ tʰi˥˧	/firmware/
韍	fuʔᵗ	/kneepad/
韓	ɦɑn˩	/Han, one of the Seven Hero States of the Warring States 戰國七雄|战国七雄/Korea from the fall of the Joseon dynasty in 1897/Korea, esp. South Korea 大韓民國|大韩民国/surname Han/
韓元	ɦɑn˩ (ŋ)jyuɛn˩	/Won (Korean currency)/
韓半島	ɦɑn˩ pwɔn˨˦ taw˥˧	/Korean peninsula (esp. South Korean usage)/
韓國	ɦɑn˩ kwəʔᵏ	/South Korea (Republic of Korea)/Han, one of the Seven Hero States of the Warring States 戰國七雄|战国七雄/Korea from the fall of the Joseon dynasty in 1897/
韓國人	ɦɑn˩ kwəʔᵏ ʒin˩	/Korean (person)/
韓國泡菜	ɦɑn˩ kwəʔᵏ pʰaw tsʰai˨˦	/kimchi/Korean pickled cabbage/
韓國街	ɦɑn˩ kwəʔᵏ kiai	/Koreatown/
韓國銀行	ɦɑn˩ kwəʔᵏ (ŋ)jin˩  ɦɑŋ˩	/Bank of Korea/
韓圓	ɦɑn˩ jyuɛn˩	/Korean won (unit of currency)/
韓城	ɦɑn˩ tʃʱiŋ˩	/Hancheng city and county in Shaanxi/
韓寒	ɦɑn˩ ɦɑn˩	/Han Han (1982-), PRC blogger, singer and professional rally driver/
韓德爾	ɦɑn˩ təʔᵏ ɻ˥˧	/Handel (name)/Georg Frideric Händel (1785-), German composer/
韓愛晶	ɦɑn˩ ʔai˨˦ tsiŋ	/Han Aijing (1945-), notorious red guard leader during Cultural Revolution, spent 15 years in prison for imprisoning and torturing political leaders/
韓戰	ɦɑn˩ tʃiɛn˨˦	/Korean War (1950-1953)/
韓文	ɦɑn˩ vun˩	/hangul, Korean phonetic alphabet/Korean written language/
韓日	ɦɑn˩ ʒiʔᵗ˩	/Korea and Japan/
韓昇洙	ɦɑn˩ ʃiŋ ʃʱy˩	/Han Seung Soo (1936-), South Korean diplomat and politician, prime minister from 2008/
韓江	ɦɑn˩ kiɑŋ	/the Han river in Guangdong/
韓流	ɦɑn˩ liw˩	/the spread of Korean cultural products (TV dramas, pop music etc) to other countries/Korean Wave/
韓美	ɦɑn˩ mui˥˧	/South Korean-US/
韔	tʃʰiɑŋ˨˦	/bow bag/
韘	ʃiɛʔᵖ	/archer's thumb ring/
韙	ui˥˧	/correct/right/
韛	bai˨˦	/bellows (for blowing air into a fire)/
韜	tʰaw	/bow case or scabbard/to hide/military strategy/
韜略	tʰaw liɒʔᵏ˩	/military strategy/military tactics/originally refers to military classics Six Secret Teachings 六韜|六韬 and Three Strategies 三略[San1 lu:e4]/
韝	kəw	/archer's arm guard/
韞	ʔyun˥˧	/contain/
韡	ui˥˧	/gorgeous/
韭	kiw˥˧	/leek/
韭菜	kiw˥˧ tsʰai˨˦	/garlic chives (Allium tuberosum), aka Chinese chives/(fig.) retail investors who lose their money to more experienced operators (i.e. they are "harvested" like garlic chives)/
韭菜花	kiw˥˧ tsʰai˨˦ hwa	/chives (Allium tuberosum)/
韱	siɛm	/wild onions or leeks/
韶	ʃʱiɛw˩	/surname Shao/
韶	ʃʱiɛw˩	/(music)/excellent/harmonious/
韶山	ʃʱiɛw˩ ʂan	/Shaoshan county level city in Xiangtan 湘潭, Hunan/
韺	ʔiŋ	/music of legendary emperor Gu/
韻	jyun˨˦	/beautiful sound/appeal/charm/vowel/rhyme/in Chinese phonetics, the medial and final sound of a syllable (i.e. excluding the initial consonant)/
韻事	jyun˨˦ ʂʱɨ˨˦	/poetic occasion/elegant situation/in literature, the cue for a poem/
韻人韻事	jyun˨˦ ʒin˩ jyun˨˦ ʂʱɨ˨˦	/a charming man enjoys charming pursuits (idiom)/
韻味	jyun˨˦ vi˨˦	/implicit charm in rhyme or sound/hinted appeal/interest/
韻尾	jyun˨˦ vi˥˧	/the rhyming part of a syllable/in a Chinese syllable, the medial vowel plus final consonant (if any)/
韻律	jyun˨˦ lyʔᵗ˩	/cadence/rhythm/rhyme scheme/meter (in verse)/(linguistics) prosody/
韻文	jyun˨˦ vun˩	/verse/
韻書	jyun˨˦ ʃy	/rhyming dictionary/traditional Chinese phonetic dictionary with words ordered first by four tones 四聲|四声 then rhyme 韻|韵 (i.e. medial consonant and final)/
韻白	jyun˨˦ bəʔᵏ˩	/form of rhymed baihua 白话 in Beijing opera/
韻目	jyun˨˦ muʔᵏ˩	/rhyme entry/subdivision of a rhyming dictionary (containing all words with the given rhyme)/
韻緻	jyun˨˦ tʃi˨˦	/grace/natural charm/
韻腳	jyun˨˦ kiɒʔᵏ	/rhyming word ending a line of verse/rhyme/
韻腹	jyun˨˦ fuʔᵏ	/main vowel in diphthong/
韻詩	jyun˨˦ ʃɨ	/rhyming verse/
韻頭	jyun˨˦ tʱəw˩	/leading vowel of diphthong/
響	hiɑŋ˥˧	/echo/sound/noise/to make a sound/to sound/to ring/loud/classifier for noises/
響亮	hiɑŋ˥˧ liɑŋ˨˦	/loud and clear/resounding/
響器	hiɑŋ˥˧ kʰi˨˦	/percussion instrument/
響應	hiɑŋ˥˧ ʔiŋ˨˦	/to respond to/answer/CL:個|个/
響板	hiɑŋ˥˧ pan˥˧	/castanets (music)/
響水	hiɑŋ˥˧ ʂui˥˧	/Xiangshui county in Yancheng 鹽城|盐城, Jiangsu/
響聲	hiɑŋ˥˧ ʃiŋ	/noise/
響頭	hiɑŋ˥˧ tʱəw˩	/to bump one's head/to kowtow with head-banging on the ground/
頀	ɦu˨˦	/music/
頂	tiŋ˥˧	/apex/crown of the head/top/roof/most/to carry on the head/to push to the top/to go against/to replace/to substitute/to be subjected to (an aerial bombing, hailstorm etc)/(slang) to "bump" a forum thread to raise its profile/classifier for headwear, hats, veils etc/
頂事	tiŋ˥˧ ʂʱɨ˨˦	/useful/fitting/
頂住	tiŋ˥˧ dʒy˨˦	/to withstand/to stand up to/
頂呱呱	tiŋ˥˧ ku ku	/tip-top/excellent/first-rate/
頂多	tiŋ˥˧ tɔ	/at most/at best/
頂天立地	tiŋ˥˧ tʰiɛn liʔᵖ˩ di˨˦	/lit. able to support both heaven and earth/of indomitable spirit (idiom)/
頂客	tiŋ˥˧ kʰəʔᵏ	/see 丁克/
頂尖	tiŋ˥˧ tsiɛm	/peak/apex/world best/number one/finest (competitors)/top (figures in a certain field)/
頂尖兒	tiŋ˥˧ tsiɛm ɻ˩	/erhua variant of 頂尖|顶尖/
頂尖級	tiŋ˥˧ tsiɛm kiʔᵖ	/first class/top/world best/
頂層	tiŋ˥˧ tsʱəŋ˩	/top floor/the top of a building/
頂拜	tiŋ˥˧ pai˨˦	/to prostrate oneself/to kneel and bow the head (in submission, supplication, worship etc)/
頂擋	tiŋ˥˧ tɑŋ˨˦	/to resist/to obstruct/to bear responsibility for/
頂板	tiŋ˥˧ pan˥˧	/roof/roof plate/rock layer forming roof of a cave or mine/abacus/
頂架	tiŋ˥˧ kia˨˦	/cabin/
頂棚	tiŋ˥˧ pʱəŋ˩	/ceiling/awning (under ceiling)/
頂樓	tiŋ˥˧ ləw˩	/top floor/attic/loft/garret/penthouse/(flat) rooftop (often used as an outdoor living area etc)/
頂燈	tiŋ˥˧ təŋ	/dome light (of a taxi etc)/ceiling light (in a room)/interior light (of a car)/light on the top of a mast etc/
頂牛兒	tiŋ˥˧ jiw˩ ɻ˩	/to push with the forehead/to lock horns/to be at loggerheads/
頂班	tiŋ˥˧ pan	/to take over sb else's job/to substitute for/
頂用	tiŋ˥˧ jyuŋ˨˦	/to be of use/
頂目	tiŋ˥˧ muʔᵏ˩	/item/event/project/
頂級	tiŋ˥˧ kiʔᵖ	/top-notch/first-rate/
頂缸	tiŋ˥˧ kɑŋ	/to take the blame/to be a scapegoat/to carry the can/
頂罪	tiŋ˥˧ dzui'˨˦	/to take the blame for sb else/to compensate for one's crime/to get charges dropped (by paying money etc)/
頂芽	tiŋ˥˧ (ŋ)jia˩	/terminal bud (growing at the tip of a plant)/
頂補	tiŋ˥˧ pu˥˧	/to fill a vacancy/to substitute for/
頂角	tiŋ˥˧ kiɒʔᵏ	/angle at apex/summit angle/cusp/
頂謝	tiŋ˥˧ sʱiɛ˨˦	/to bow in thanks/
頂讓	tiŋ˥˧ ʒiɑŋ˨˦	/to hand over (a business etc) for an agreed price (Tw)/
頂輪	tiŋ˥˧ lyun˩	/sahasrāra or sahasrara, the crown or fontanel chakra 查克拉, residing at the top of the skull/
頂門壯戶	tiŋ˥˧ mun˩ ʈʂwɑŋ˨˦ ɦu˨˦	/to support the family business (idiom)/
頂閥	tiŋ˥˧ fʱaʔᵗ˩	/top valve/head valve/
頂面	tiŋ˥˧ miɛn˨˦	/top/top side/top surface/
頂頭	tiŋ˥˧ tʱəw˩	/to come directly towards one/top/immediate (superior)/
頂骨	tiŋ˥˧ kuʔᵗ	/parietal bone (top of the scull)/
頂點	tiŋ˥˧ tiɛm˥˧	/summit/peak/(math.) vertex/
項	ɦiɑŋ'˨˦	/surname Xiang/
項	ɦiɑŋ'˨˦	/back of neck/item/thing/term (in a mathematical formula)/sum (of money)/classifier for principles, items, clauses, tasks, research projects etc/
項城	ɦiɑŋ'˨˦ tʃʱiŋ˩	/Xiangcheng county level city in Zhoukou 周口, Henan/
項目	ɦiɑŋ'˨˦ muʔᵏ˩	/item/project/(sports) event/CL:個|个/
項目管理	ɦiɑŋ'˨˦ muʔᵏ˩ kwɔn˥˧ li˥˧	/project management/
項英	ɦiɑŋ'˨˦ ʔiŋ	/Xiang Ying (1898-1941), communist general involved in forming the New Fourth Army 新四軍, killed in 1941 during the New Fourth Army incident 皖南事变/
項頸	ɦiɑŋ'˨˦ kiŋ˥˧	/back of neck/
順	ʃʱyun˨˦	/to obey/to follow/to arrange/to make reasonable/along/favorable/
順位	ʃʱyun˨˦ ui˨˦	/rank/place/position/
順利	ʃʱyun˨˦ li˨˦	/smoothly/without a hitch/
順勢	ʃʱyun˨˦ ʃji˨˦	/to take advantage/to seize an opportunity/in passing/without taking extra trouble/conveniently/
順勢療法	ʃʱyun˨˦ ʃji˨˦ liɛw˨˦ faʔᵖ	/homeopathy (alternative medicine)/
順口	ʃʱyun˨˦ kʰəw˥˧	/to read smoothly (of text)/to blurt out (without thinking)/to suit one's taste (of food)/
順口溜	ʃʱyun˨˦ kʰəw˥˧ liw˨˦	/popular piece of doggerel/common phrase repeated as a jingle/
順坦	ʃʱyun˨˦ tʰan˥˧	/smoothly/as one expects/
順城	ʃʱyun˨˦ tʃʱiŋ˩	/Shuncheng district of Fushun city 撫順市|抚顺市, Liaoning/
順子	ʃʱyun˨˦ tsɨ˥˧	/a straight (poker, mahjong)/
順帶	ʃʱyun˨˦ tai˨˦	/(do sth) in passing/incidentally (while doing sth else)/
順序	ʃʱyun˨˦ sʱy'˨˦	/sequence/order/
順式	ʃʱyun˨˦ ʃiʔᵏ	/cis- (isomer) (chemistry)/see also 反式/
順德	ʃʱyun˨˦ təʔᵏ	/Shunde district of Foshan city 佛山市, Guangdong/
順心	ʃʱyun˨˦ sim	/happy/satisfactory/
順應	ʃʱyun˨˦ ʔiŋ˨˦	/to comply/to conform to/in tune with/adapting to/to adjust to/
順應天時	ʃʱyun˨˦ ʔiŋ˨˦ tʰiɛn ʃʱɨ˩	/going with nature and the seasons (TCM)/
順手	ʃʱyun˨˦ ʃiw˥˧	/easily/without trouble/while one is at it/in passing/handy/
順手兒	ʃʱyun˨˦ ʃiw˥˧ ɻ˩	/handy/convenient and easy to use/smoothly/
順敘	ʃʱyun˨˦ sʱy'˨˦	/chronological narrative/
順暢	ʃʱyun˨˦ tʃʰiɑŋ˨˦	/smooth and unhindered/fluent/
順次	ʃʱyun˨˦ tsʰɨ˨˦	/in order/in proper sequence/
順民	ʃʱyun˨˦ min˩	/docile subject (of new dynasty)/toady/
順水	ʃʱyun˨˦ ʂui˥˧	/with the current/
順水人情	ʃʱyun˨˦ ʂui˥˧ ʒin˩ tsʱiŋ˩	/to do sb a favor at little cost/
順溜	ʃʱyun˨˦ liw˨˦	/orderly/tidy/smooth/
順潮	ʃʱyun˨˦ tʃʱiɛw˩	/favorable tide/
順理成章	ʃʱyun˨˦ li˥˧ tʃʱiŋ˩ tʃiɑŋ	/logical/only to be expected/rational and clearly structured (of text)/
順產	ʃʱyun˨˦ ʈʂʰan˥˧	/to give birth without complications/easy childbirth/safe delivery/natural birth (without surgical operation)/
順磁	ʃʱyun˨˦ tsʱɨ˩	/paramagnetic/
順耳	ʃʱyun˨˦ ɻ˥˧	/pleasing to the ear/
順路	ʃʱyun˨˦ lu˨˦	/by the way/while out doing sth else/conveniently/
順遂	ʃʱyun˨˦ sʱui˨˦	/everything is going smoothly/just as one wishes/
順風耳	ʃʱyun˨˦ fuŋ ɻ˥˧	/sb with preternaturally good hearing (in fiction)/fig. a well-informed person/
頊	hyuʔᵏ	/grieved/anxious/
頍	kʰui˥˧	/raise one's head/
預	jy˨˦	/to advance/in advance/beforehand/to prepare/
預付	jy˨˦ fu˨˦	/to pay in advance/prepaid/
預估	jy˨˦ ku˥˧	/to estimate/to forecast/prediction/projection/
預兆	jy˨˦ dʒiɛw'˨˦	/omen/sign (of sth yet to occur)/prior indication/to foreshadow/
預卜	jy˨˦ puʔᵏ	/to foretell/to predict/
預報	jy˨˦ paw˨˦	/forecast/
預定	jy˨˦ diŋ˨˦	/to schedule in advance/
預想	jy˨˦ siɑŋ˥˧	/to anticipate/to expect/
預應力	jy˨˦ ʔiŋ˨˦ liʔᵏ˩	/prestressed/
預支	jy˨˦ tʃɨ	/to pay in advance/to get payment in advance/
預案	jy˨˦ ʔɑn˨˦	/contingency plan/
預測	jy˨˦ ʈʂʰəʔᵏ	/to forecast/to predict/
預演	jy˨˦ jiɛn˥˧	/dummy run/to run through sth/to rehearse/
預熱	jy˨˦ ʒiɛʔᵗ˩	/to preheat/warm-up/
預知	jy˨˦ tʃi	/to anticipate/to foresee/
預科	jy˨˦ kʰwɔ	/preparatory course (in college)/
預習	jy˨˦ sʱiʔᵖ˩	/to prepare a lesson/
預裝	jy˨˦ ʈʂwɑŋ	/prefabricated/preinstalled/bundled (software)/
預訂	jy˨˦ tiŋ˨˦	/to place an order/to book ahead/
預計	jy˨˦ kji˨˦	/to forecast/to predict/to estimate/
預託證券	jy˨˦ tʰɒʔᵏ tʃiŋ˨˦ kʰyuɛn˨˦	/depository receipt (DR, in share dealing)/
預設	jy˨˦ ʃiɛʔᵗ	/to presuppose/to predispose/to preset/presupposition/predisposition/default (value etc)/
預試	jy˨˦ ʃɨ˨˦	/pretest/
預謀	jy˨˦ məw˩	/premeditated/to plan sth in advance (esp. a crime)/
預警	jy˨˦ kiŋ˥˧	/warning/early warning/
預警機	jy˨˦ kiŋ˥˧ kji	/early warning aircraft system, e.g. US AWACS/
預購	jy˨˦ kəw˨˦	/advance purchase/
預賽	jy˨˦ sai˨˦	/preliminary competition/to hold preliminary heats/
預配	jy˨˦ pʰui˨˦	/pre-allocated/prewired/
頑	(ŋ)wan˩	/mischievous/obstinate/to play/stupid/stubborn/naughty/
頑劣	(ŋ)wan˩ lyuɛʔᵗ˩	/stubborn and obstreperous/naughty and mischievous/
頑固	(ŋ)wan˩ ku˨˦	/stubborn/obstinate/
頑梗	(ŋ)wan˩ k(i)əŋ˥˧	/obstinate/persistent/
頑民	(ŋ)wan˩ min˩	/unruly people/rebellious subjects/disloyal citizens/
頑疾	(ŋ)wan˩ dziʔᵗ˩	/ineradicable disease/fig. deep-seated problem/perennial problem/
頑皮	(ŋ)wan˩ pʱi˩	/naughty/
頑童	(ŋ)wan˩ tʱuŋ˩	/urchin/
頑鈍	(ŋ)wan˩ dun˨˦	/blunt (instrument)/stupid/thick-headed/
頔	diʔᵏ˩	/fine/good/beautiful/
頖	pʰwɔn˨˦	/disperse/
領	liŋ˥˧	/neck/collar/to lead/to receive/classifier for clothes, mats, screens etc/
領事	liŋ˥˧ ʂʱɨ˨˦	/consul/
領到	liŋ˥˧ taw˨˦	/to receive/
領口	liŋ˥˧ kʰəw˥˧	/collar/neckband/neckline/the place where the two ends of a collar meet/
領命	liŋ˥˧ miŋ˨˦	/to accept an order/
領唱	liŋ˥˧ tʃʰiɑŋ˨˦	/to lead a chorus/choirmaster/leading singer/
領地	liŋ˥˧ di˨˦	/territory/domain/estate/(old) fief/
領域	liŋ˥˧ jyuəʔᵏ˩	/domain/sphere/field/territory/area/
領子	liŋ˥˧ tsɨ˥˧	/shirt collar/
領工	liŋ˥˧ kuŋ	/to work as a foreman/foreman/supervisor/
領巾	liŋ˥˧ kin	/neckcloth/neckerchief/
領帶	liŋ˥˧ tai˨˦	/necktie/CL:條|条/
領悟	liŋ˥˧ (ŋ)u˨˦	/to understand/to comprehend/
領悟力	liŋ˥˧ (ŋ)u˨˦ liʔᵏ˩	/comprehension/perception/feeling/
領情	liŋ˥˧ tsʱiŋ˩	/to feel grateful to sb/to appreciate the kindness/
領海	liŋ˥˧ hai˥˧	/territorial waters/
領獎	liŋ˥˧ tsiɑŋ˥˧	/to accept a prize/a prize-winner/
領班	liŋ˥˧ pan	/supervisor/foreman/head waiter or waitress/
領略	liŋ˥˧ liɒʔᵏ˩	/to have a taste of/to realize/to appreciate/
領章	liŋ˥˧ tʃiɑŋ	/collar insignia/
領罪	liŋ˥˧ dzui'˨˦	/to confess one's fault/to accept one's punishment/
領航	liŋ˥˧ ɦɑŋ˩	/navigation/navigator/to navigate/
領英	liŋ˥˧ ʔiŋ	/LinkedIn (professional networking website)/
領袖	liŋ˥˧ sʱiw˨˦	/leader/CL:個|个,位,名/
領角鴞	liŋ˥˧ kiɒʔᵏ hiɛw	/(bird species of China) Japanese scops owl (Otus semitorques)/
領諾	liŋ˥˧ nɒʔᵏ˩	/consent/
領證	liŋ˥˧ tʃiŋ˨˦	/to obtain a certificate or license etc/(PRC) to obtain a marriage license/to marry/
領跑	liŋ˥˧ pʱaw˩	/to take the lead in a race/to set the pace/
領路	liŋ˥˧ lu˨˦	/to lead the way/
領軍	liŋ˥˧ kyun	/to lead troups/(fig.) to lead/leading/
領釦	liŋ˥˧ kʰəw˥˧	/collar button/
領銜	liŋ˥˧ ɦiam˩	/leading (role)/heading list of signatories/leading actors (in a show)/starring/
領頭	liŋ˥˧ tʱəw˩	/to take the lead/to be first to start/
領頭羊	liŋ˥˧ tʱəw˩ jiɑŋ˩	/bellwether/
頜	kɔʔᵖ	/maxilla and mandible/
頞	ʔɔʔᵗ	/junction of nose and forehead/
頟	ŋəʔᵏ˩	/variant of 額|额/
頠	(ŋ)ui˥˧	/easeful carriage of one's head/
頤	ji˩	/cheek/lower cheek/chin/jaw/to nourish/
頤指	ji˩ tʃɨ˥˧	/to order with the chin/to indicate what one wants by facial gesture/
頦	kai	/chin/
頦	kai	/(used in bird names) throat/
頭	tʱəw˩	/head/hair style/the top/end/beginning or end/a stub/remnant/chief/boss/side/aspect/first/leading/classifier for pigs or livestock/CL:個|个/
頭	tʱəw˩	/suffix for nouns/
頭一	tʱəw˩ ʔiʔᵗ	/the first/
頭一回	tʱəw˩ ʔiʔᵗ ɦui˩	/the first time/for the first time/
頭七	tʱəw˩ tsʰiʔᵗ	/the 7th day after a person's death/the first 7-day period after a person's death/
頭份	tʱəw˩ pin	/Toufen town in Miaoli county 苗栗縣|苗栗县, northwest Taiwan/
頭位	tʱəw˩ ui˨˦	/(car racing) pole position/(obstetrics) cephalic presentation (i.e. head-first birth)/
頭像	tʱəw˩ sʱiɑŋ'˨˦	/portrait/bust/
頭兒	tʱəw˩ ɻ˩	/leader/
頭兜	tʱəw˩ təw	/helmet/chain mail hung from head to protect neck/
頭功	tʱəw˩ kuŋ	/first class merit/
頭半天	tʱəw˩ pwɔn˨˦ tʰiɛn	/morning/first half of the day/
頭半天兒	tʱəw˩ pwɔn˨˦ tʰiɛn ɻ˩	/erhua variant of 頭半天|头半天/
頭回	tʱəw˩ ɦui˩	/for the first time/on the previous occasion/last time (something occurred)/
頭城	tʱəw˩ tʃʱiŋ˩	/Toucheng town in Yilan county 宜蘭縣|宜兰县, Taiwan/
頭套	tʱəw˩ tʰaw˨˦	/actor's headgear/wig/head covering/
頭子	tʱəw˩ tsɨ˥˧	/boss/gang leader/
頭家	tʱəw˩ kia	/organizer of a gambling party who takes a cut of the winnings/banker (gambling)/preceding player (in a game)/(dialect) boss/proprietor/
頭寸	tʱəw˩ tsʰun˨˦	/money market/
頭屋	tʱəw˩ ʔuʔᵏ	/Touwu township in Miaoli county 苗栗縣|苗栗县, northwest Taiwan/
頭巾	tʱəw˩ kin	/cloth head covering worn by men in ancient times/headscarf (typically worn by women)/kerchief/turban/
頭座	tʱəw˩ dz(w)ɔ˨˦	/headstock/turning head of a screw, drill, lathe etc/
頭彩	tʱəw˩ tsʰai˥˧	/first prize in a lottery/
頭擋	tʱəw˩ tɑŋ˨˦	/first gear/
頭文字	tʱəw˩ vun˩ dzɨ˨˦	/initial/first letter of word (in Latin script)/
頭昏	tʱəw˩ hun	/dizzy/giddy/one's head spins/
頭昏目暈	tʱəw˩ hun muʔᵏ˩ jyun˨˦	/see 頭昏目眩|头昏目眩/
頭昏腦悶	tʱəw˩ hun naw˥˧ mun˨˦	/fainting and giddy/one's head spins/
頭昏腦脹	tʱəw˩ hun naw˥˧ tʃiɑŋ˨˦	/giddy/one's head spins/
頭晚	tʱəw˩ van˥˧	/previous night/
頭暈	tʱəw˩ jyun˨˦	/dizzy/
頭暈腦脹	tʱəw˩ jyun˨˦ naw˥˧ tʃiɑŋ˨˦	/dizzy and light-headed/
頭款	tʱəw˩ kʰwɔn˥˧	/down payment/
頭版	tʱəw˩ pan˥˧	/(newspaper's) front page/
頭牌	tʱəw˩ pʱai˩	/tablet announcing the name of leading actor in a theatrical production/by extension, the lead role/
頭獎	tʱəw˩ tsiɑŋ˥˧	/first prize/
頭痛	tʱəw˩ tʰuŋ˨˦	/to have a headache/
頭癬	tʱəw˩ siɛn˥˧	/favus of the scalp (skin disease)/
頭皮	tʱəw˩ pʱi˩	/scalp/
頭皮屑	tʱəw˩ pʱi˩ siɛʔᵗ	/dandruff/
頭盔	tʱəw˩ kʰui	/helmet/
頭目	tʱəw˩ muʔᵏ˩	/ringleader/gang leader/chieftain/
頭破血流	tʱəw˩ pʰwɔ˨˦ hyuɛʔᵗ liw˩	/lit. head broken and blood flowing/fig. badly bruised/
頭等	tʱəw˩ təŋ˥˧	/first class/prime/main/
頭紗	tʱəw˩ ʂa	/wedding veil/gauze headscarf or veil/
頭緒	tʱəw˩ sʱy'˨˦	/outline/main threads/
頭羊	tʱəw˩ jiɑŋ˩	/bellwether/
頭脹	tʱəw˩ tʃiɑŋ˨˦	/distention in the head (TCM)/
頭腦	tʱəw˩ naw˥˧	/brains/mind/skull/(fig.) gist (of a matter)/leader/boss/
頭腦清楚	tʱəw˩ naw˥˧ tsʰiŋ ʈʂʰu˨˦	/lucid/clear-headed/sensible/
頭腦發脹	tʱəw˩ naw˥˧ faʔᵗ tʃiɑŋ˨˦	/swelling of the head (physical condition)/fig. swellheaded/conceited/
頭蝨	tʱəw˩ ʂəʔᵗ	/head lice/
頭角	tʱəw˩ kiɒʔᵏ	/youngster's talent/brilliance of youth/
頭里	tʱəw˩ li˥˧	/in front/in advance of the field/
頭銜	tʱəw˩ ɦiam˩	/title/rank/appellation/
頭面	tʱəw˩ miɛn˨˦	/head ornament (in former times)/
頭面人物	tʱəw˩ miɛn˨˦ ʒin˩ vuʔᵗ˩	/leading figure/bigwig/
頭頂	tʱəw˩ tiŋ˥˧	/top of the head/
頭領	tʱəw˩ liŋ˥˧	/head person/leader/
頭頭	tʱəw˩ tʱəw˩	/head/chief/
頭頸	tʱəw˩ kiŋ˥˧	/(dialect) neck/
頭顱	tʱəw˩ lu˩	/head/skull/
頭飾	tʱəw˩ ʃiʔᵏ	/head ornament/
頭香	tʱəw˩ hiɑŋ	/the first stick of incense placed in the censer (believed to bring good luck esp. during festivities)/(slang) (Tw) the first reply to a blog post etc/
頭骨	tʱəw˩ kuʔᵗ	/skull/
頭髮	tʱəw˩ faʔᵗ	/hair (on the head)/
頰	kiɛʔᵖ	/cheeks/
頰窩	kiɛʔᵖ ʔwɔ	/dimple/heat-sensing facial pit of a snake/
頲	diŋ'˨˦	/narrow forehead/
頸	kiŋ˥˧	/neck/
頸子	kiŋ˥˧ tsɨ˥˧	/neck/
頸椎	kiŋ˥˧ ʈʂʱui˩	/cervical vertebra/the seven cervical vertebrae in the neck of humans and most mammals/
頸椎病	kiŋ˥˧ ʈʂʱui˩ biŋ˨˦	/cervical spondylosis/
頸項	kiŋ˥˧ ɦiɑŋ'˨˦	/neck/
頽	tʱui˩	/variant of 頹|颓/
顆	kʰwɔ˥˧	/classifier for small spheres, pearls, corn grains, teeth, hearts, satellites etc/
顆粒	kʰwɔ˥˧ liʔᵖ˩	/kernel/granule/granulated (sugar, chemical product)/
顆粒物	kʰwɔ˥˧ liʔᵖ˩ vuʔᵗ˩	/particulate matter (PM)/
顇	dzui˨˦	/variant of 悴/
顋	sai	/variant of 腮/
額	ŋəʔᵏ˩	/forehead/horizontal tablet or inscribed board/specified number or amount/
額吉	ŋəʔᵏ˩ kiʔᵗ	/mother (Mongolian)/
額外	ŋəʔᵏ˩ (ŋ)wai˨˦	/extra/added/additional/
額外性	ŋəʔᵏ˩ (ŋ)wai˨˦ siŋ˨˦	/additionality (economics)/
額外補貼	ŋəʔᵏ˩ (ŋ)wai˨˦ pu˥˧ tʰiɛʔᵖ	/to give an extra subsidy, or bonus etc/bonus/perquisite/
額敏	ŋəʔᵏ˩ min˥˧	/Emin county or Dörbiljin nahiyisi in Tacheng prefecture 塔城地區|塔城地区, Xinjiang/
額爾古納	ŋəʔᵏ˩ ɻ˥˧ ku˥˧ naʔᵖ˩	/Ergun county level city, Mongolian Ergüne xot, in Hulunbuir 呼倫貝爾|呼伦贝尔, Inner Mongolia/
額爾古納河	ŋəʔᵏ˩ ɻ˥˧ ku˥˧ naʔᵖ˩ ɦɔ˩	/Argun River of Mongolia and Heilongjiang province, tributary of Heilongjiang River 黑龍江|黑龙江/
